invoice_id,customer_id,territory,invoice_date,amount_inr
SINV-78371,CUST-03395,Ahmedabad,2024-07-09,8959
SINV-75831,CUST-03395,Ahmedabad,2025-01-09,8904
SINV-67742,CUST-03395,Ahmedabad,2024-05-18,7443
SINV-53448,CUST-11613,Ahmedabad,2023-09-07,6801
SINV-47482,CUST-11613,Ahmedabad,2024-11-07,9757
SINV-18904,CUST-11613,Ahmedabad,2024-02-13,8226
SINV-99060,CUST-11613,Ahmedabad,2024-11-04,8886
SINV-22665,CUST-11613,Ahmedabad,2023-07-21,9403
SINV-33845,CUST-11613,Ahmedabad,2024-08-10,11061
SINV-77757,CUST-11806,Mumbai,2024-02-03,4180
SINV-38730,CUST-11806,Mumbai,2024-07-21,3308
SINV-56933,CUST-11806,Mumbai,2023-12-27,2826
SINV-95307,CUST-11806,Mumbai,2024-05-21,3371
SINV-38555,CUST-11806,Mumbai,2024-12-06,4862
SINV-84576,CUST-11806,Mumbai,2024-02-07,4805
SINV-51223,CUST-09982,Chennai,2024-06-14,3433
SINV-97612,CUST-09982,Chennai,2024-04-18,6173
SINV-46709,CUST-09982,Chennai,2024-01-08,6420
SINV-63639,CUST-09982,Chennai,2023-07-12,5685
SINV-94046,CUST-09982,Chennai,2024-01-09,5010
SINV-74884,CUST-09982,Chennai,2023-10-04,4161
SINV-70694,CUST-08853,Hyderabad,2024-07-23,1870
SINV-36667,CUST-08853,Hyderabad,2025-01-10,2549
SINV-82606,CUST-08853,Hyderabad,2024-08-13,1290
SINV-24636,CUST-08853,Hyderabad,2024-08-07,2025
SINV-31122,CUST-01573,Mumbai,2024-03-24,3792
SINV-14930,CUST-01573,Mumbai,2024-03-30,2158
SINV-45384,CUST-01573,Mumbai,2025-01-15,3472
SINV-48787,CUST-01573,Mumbai,2024-12-07,3975
SINV-96092,CUST-01573,Mumbai,2025-01-11,3177
SINV-75724,CUST-01573,Mumbai,2024-06-18,3604
SINV-77784,CUST-10057,Mumbai,2025-03-08,24078
SINV-87694,CUST-10057,Mumbai,2024-02-01,24903
SINV-19666,CUST-10057,Mumbai,2024-05-21,42871
SINV-93716,CUST-10057,Mumbai,2025-04-28,32244
SINV-31256,CUST-10057,Mumbai,2024-08-08,22930
SINV-23983,CUST-10057,Mumbai,2024-07-15,26474
SINV-87096,CUST-04351,Hyderabad,2025-02-25,4847
SINV-69748,CUST-04351,Hyderabad,2025-02-24,7753
SINV-83180,CUST-04351,Hyderabad,2025-02-23,8018
SINV-79557,CUST-04351,Hyderabad,2024-02-05,5999
SINV-51973,CUST-04351,Hyderabad,2024-04-21,5804
